epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy
1,10000,0,1,0.768177,0,0.768177,7681.77,0,7681.77,7681.77
2,20000,0,1,0.787034,0,0.787034,7870.34,0,7870.34,7870.34
3,30000,0,1,0.80599,0,0.80599,8059.9,0,8059.9,8059.9
4,40000,0,1,0.824606,0,0.824606,8246.06,0,8246.06,8246.06
5,50000,0,1,0.843504,0,0.843504,8435.04,0,8435.04,8435.04
6,60000,0,1,0.862569,0,0.862569,8625.69,0,8625.69,8625.69
7,70000,0,1,0.881489,0,0.881489,8814.89,0,8814.89,8814.89
8,80000,0,1,0.900365,0,0.900365,9003.65,0,9003.65,9003.65
9,90000,0,1,0.91884,0,0.91884,9188.4,0,9188.4,9188.4
10,100000,0,1,0.938003,0,0.938003,9380.03,0,9380.03,9380.03
11,110000,0,1,0.957052,0,0.957052,9570.52,0,9570.52,9570.52
12,120000,0,1,0.975927,0,0.975927,9759.27,0,9759.27,9759.27
13,130000,0,1,0.994166,0,0.994166,9941.66,0,9941.66,9941.66
14,140000,0,1,1.01305,0,1.01305,10130.5,0,10130.5,10130.5
15,150000,0,1,1.03249,0,1.03249,10324.9,0,10324.9,10324.9
16,160000,0,1,1.05095,0,1.05095,10509.5,0,10509.5,10509.5
17,170000,0,1,1.06989,0,1.06989,10698.9,0,10698.9,10698.9
18,180000,0,1,1.08892,0,1.08892,10889.2,0,10889.2,10889.2
19,190000,0,1,1.1077,0,1.1077,11077,0,11077,11077
20,200000,0,1,1.12652,0,1.12652,11265.2,0,11265.2,11265.2
21,210000,0,1,1.14542,0,1.14542,11454.2,0,11454.2,11454.2
22,220000,0,1,1.16421,0,1.16421,11642.1,0,11642.1,11642.1
23,230000,0,1,1.18306,0,1.18306,11830.6,0,11830.6,11830.6
24,240000,0,1,1.20174,0,1.20174,12017.4,0,12017.4,12017.4
25,250000,0,1,1.2209,0,1.2209,12209,0,12209,12209
26,260000,0,1,1.23978,0,1.23978,12397.8,0,12397.8,12397.8
27,270000,0,1,1.25851,0,1.25851,12585.1,0,12585.1,12585.1
28,280000,0,1,1.2775,0,1.2775,12775,0,12775,12775
29,290000,0,1,1.29647,0,1.29647,12964.7,0,12964.7,12964.7
30,300000,0,1,1.31519,0,1.31519,13151.9,0,13151.9,13151.9
31,310000,0,1,1.33386,0,1.33386,13338.6,0,13338.6,13338.6
32,320000,0,1,1.35268,0,1.35268,13526.8,0,13526.8,13526.8
33,330000,0,1,1.37187,0,1.37187,13718.7,0,13718.7,13718.7
34,340000,0,1,1.39024,0,1.39024,13902.4,0,13902.4,13902.4
35,350000,0,1,1.40946,0,1.40946,14094.6,0,14094.6,14094.6
36,360000,0,1,1.42845,0,1.42845,14284.5,0,14284.5,14284.5
37,370000,0,1,1.44717,0,1.44717,14471.7,0,14471.7,14471.7
38,380000,0,1,1.46582,0,1.46582,14658.2,0,14658.2,14658.2
39,390000,0,1,1.48469,0,1.48469,14846.9,0,14846.9,14846.9
40,400000,0,1,1.50362,0,1.50362,15036.2,0,15036.2,15036.2
41,410000,0,1,1.52267,0,1.52267,15226.7,0,15226.7,15226.7
42,420000,0,1,1.54121,0,1.54121,15412.1,0,15412.1,15412.1
