epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate
1,10000,0.768177,9.23182,0.768177,19,30,37,0,38.3138,0,0,0,0.0360875,4.72107
2,20000,0.787034,9.21297,0.777606,19,33,33,0,0.0039,0,0,0,0,0
3,30000,0.80599,9.19401,0.787067,0,0,0,0,0.0038,0,0,0,0,0
4,40000,0.824606,9.17539,0.796452,19,30,36,0,38.319,0,0,0,0.0352937,4.70916
5,50000,0.843504,9.1565,0.805862,19,30,37,0,38.3435,0,0,0,0.0392562,4.74308
6,60000,0.862569,9.13743,0.815313,19,30,37,0,38.4145,0,0,0,0.0363062,4.75762
7,70000,0.881489,9.11851,0.824767,21,33,40,0,0,0,0,0,0,0
8,80000,0.900365,9.09963,0.834217,0,0,0,0,0,0,0,0,0,0
9,90000,0.91884,9.08116,0.843619,0,0,0,0,0,0,0,0,0,0
10,100000,0.938003,9.062,0.853058,0,0,0,0,0,0,0,0,0,0
11,110000,0.957052,9.04295,0.862512,0,0,0,0,0,0,0,0,0,0
12,120000,0.975927,9.02407,0.871963,0,0,0,0,0,0,0,0,0,0
13,130000,0.994166,9.00583,0.881363,0,0,0,0,0,0,0,0,0,0
14,140000,1.01305,8.98695,0.890769,0,0,0,0,0,0,0,0,0,0
15,150000,1.03249,8.96751,0.900217,0,0,0,0,0,0,0,0,0,0
16,160000,1.05095,8.94905,0.909638,0,0,0,0,0,0,0,0,0,0
17,170000,1.06989,8.93011,0.919064,0,0,0,0,0,0,0,0,0,0
18,180000,1.08892,8.91108,0.928501,0,0,0,0,0,0,0,0,0,0
19,190000,1.1077,8.8923,0.937933,0,0,0,0,0,0,0,0,0,0
20,200000,1.12652,8.87348,0.947362,0,0,0,0,0,0,0,0,0,0
21,210000,1.14542,8.85458,0.956793,0,0,0,0,0,0,0,0,0,0
22,220000,1.16421,8.83579,0.966221,0,0,0,0,0,0,0,0,0,0
23,230000,1.18306,8.81694,0.975649,0,0,0,0,0,0,0,0,0,0
24,240000,1.20174,8.79826,0.985069,0,0,0,0,0,0,0,0,0,0
25,250000,1.2209,8.7791,0.994503,0,0,0,0,0,0,0,0,0,0
26,260000,1.23978,8.76022,1.00394,0,0,0,0,0,0,0,0,0,0
27,270000,1.25851,8.74149,1.01337,0,0,0,0,0,0,0,0,0,0
28,280000,1.2775,8.7225,1.0228,0,0,0,0,0,0,0,0,0,0
29,290000,1.29647,8.70353,1.03224,0,0,0,0,0,0,0,0,0,0
30,300000,1.31519,8.68481,1.04167,0,0,0,0,0,0,0,0,0,0
31,310000,1.33386,8.66614,1.05109,0,0,0,0,0,0,0,0,0,0
32,320000,1.35268,8.64732,1.06052,0,0,0,0,0,0,0,0,0,0
33,330000,1.37187,8.62813,1.06995,0,0,0,0,0,0,0,0,0,0
34,340000,1.39024,8.60976,1.07937,0,0,0,0,0,0,0,0,0,0
35,350000,1.40946,8.59054,1.0888,0,0,0,0,0,0,0,0,0,0
36,360000,1.42845,8.57155,1.09824,0,0,0,0,0,0,0,0,0,0
37,370000,1.44717,8.55283,1.10767,0,0,0,0,0,0,0,0,0,0
38,380000,1.46582,8.53418,1.11709,0,0,0,0,0,0,0,0,0,0
39,390000,1.48469,8.51531,1.12652,0,0,0,0,0,0,0,0,0,0
40,400000,1.50362,8.49638,1.13595,0,0,0,0,0,0,0,0,0,0
41,410000,1.52267,8.47733,1.14538,0,0,0,0,0,0,0,0,0,0
42,420000,1.54121,8.45879,1.1548,0,0,0,0,0,0,0,0,0,0
