epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy
1,5000,0,1,0.767987,0,0.767987,3839.94,0,3839.94,3839.94
2,10000,0,0.999667,0.786958,0,0.786958,3934.79,0,3934.79,3934.79
3,15000,0,0.999295,0.805368,0,0.805368,4026.84,0,4026.84,4026.84
4,20000,0,0.998914,0.82378,0,0.82378,4118.9,0,4118.9,4118.9
5,25000,0,0.998575,0.842362,0,0.842362,4211.81,0,4211.81,4211.81
6,30000,0,0.99823,0.861076,0,0.861076,4305.38,0,4305.38,4305.38
7,35000,0,0.997977,0.879282,0,0.879282,4396.41,0,4396.41,4396.41
8,40000,0,0.997961,0.898063,0,0.898063,4490.31,0,4490.31,4490.31
9,45000,0,0.998307,0.917147,0,0.917147,4585.74,0,4585.74,4585.74
10,50000,0,0.999042,0.936876,0,0.936876,4684.38,0,4684.38,4684.38
11,55000,0,1,0.956744,0,0.956744,4783.72,0,4783.72,4783.72
12,60000,0,1,0.97581,0,0.97581,4879.05,0,4879.05,4879.05
13,65000,0,1,0.994799,0,0.994799,4974,0,4974,4974
14,70000,0,1,1.01333,0,1.01333,5066.64,0,5066.64,5066.64
15,75000,0,1,1.03239,0,1.03239,5161.93,0,5161.93,5161.93
16,80000,0,1,1.05119,0,1.05119,5255.97,0,5255.97,5255.97
17,85000,0,1,1.06964,0,1.06964,5348.22,0,5348.22,5348.22
18,90000,0,1,1.0886,0,1.0886,5443.01,0,5443.01,5443.01
19,95000,0,1,1.10784,0,1.10784,5539.19,0,5539.19,5539.19
20,100000,0,1,1.12642,0,1.12642,5632.12,0,5632.12,5632.12
21,105000,0,1,1.14555,0,1.14555,5727.73,0,5727.73,5727.73
22,110000,0,1,1.16456,0,1.16456,5822.81,0,5822.81,5822.81
23,115000,0,1,1.18355,0,1.18355,5917.73,0,5917.73,5917.73
24,120000,0,1,1.20201,0,1.20201,6010.07,0,6010.07,6010.07
25,125000,0,1,1.22064,0,1.22064,6103.18,0,6103.18,6103.18
26,130000,0,1,1.2391,0,1.2391,6195.51,0,6195.51,6195.51
27,135000,0,1,1.25839,0,1.25839,6291.97,0,6291.97,6291.97
28,140000,0,1,1.27682,0,1.27682,6384.1,0,6384.1,6384.1
29,145000,0,1,1.29644,0,1.29644,6482.18,0,6482.18,6482.18
30,150000,0,1,1.31537,0,1.31537,6576.83,0,6576.83,6576.83
31,155000,0,1,1.33385,0,1.33385,6669.25,0,6669.25,6669.25
32,160000,0,1,1.35258,0,1.35258,6762.88,0,6762.88,6762.88
33,165000,0,1,1.37173,0,1.37173,6858.64,0,6858.64,6858.64
34,170000,0,1,1.3903,0,1.3903,6951.5,0,6951.5,6951.5
35,175000,0,1,1.40918,0,1.40918,7045.89,0,7045.89,7045.89
36,180000,0,1,1.42865,0,1.42865,7143.25,0,7143.25,7143.25
37,185000,0,1,1.44705,0,1.44705,7235.23,0,7235.23,7235.23
38,190000,0,1,1.46602,0,1.46602,7330.1,0,7330.1,7330.1
39,195000,0,1,1.4849,0,1.4849,7424.52,0,7424.52,7424.52
40,200000,0,1,1.50352,0,1.50352,7517.58,0,7517.58,7517.58
41,205000,0,1,1.5224,0,1.5224,7611.98,0,7611.98,7611.98
42,210000,0,1,1.54154,0,1.54154,7707.7,0,7707.7,7707.7
43,215000,0,1,1.56013,0,1.56013,7800.66,0,7800.66,7800.66
44,220000,0,1,1.5791,0,1.5791,7895.51,0,7895.51,7895.51
