epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate
1,5000,0.767987,9.23201,0.767987,19,30,36,0,38.2306,0,0,0,0.0360125,4.70876
2,10000,0.786958,9.21304,0.777473,20,29,32,0,0.0072,0,0,0,0,0
3,15000,0.805368,9.19463,0.786771,0,0,0,0,0.0082,0,0,0,0,0
4,20000,0.82378,9.17622,0.796023,19,30,37,0,38.307,0,0,0,0.153363,4.74236
5,25000,0.842362,9.15764,0.805291,19,30,38,0,38.2808,0,0,0,0.407725,4.86451
6,30000,0.861076,9.13892,0.814589,19,31,40,0,38.3294,0,0,0,1.06035,5.04558
7,35000,0.879282,9.12072,0.823831,22,34,39,0,0,0,0,0,0,0
8,40000,0.898063,9.10194,0.83311,0,0,0,0,0,0,0,0,0,0
9,45000,0.917147,9.08285,0.842447,0,0,0,0,0,0,0,0,0,0
10,50000,0.936876,9.06312,0.85189,0,0,0,0,0,0,0,0,0,0
11,55000,0.956744,9.04326,0.861422,0,0,0,0,0,0,0,0,0,0
12,60000,0.97581,9.02419,0.870955,0,0,0,0,0,0,0,0,0,0
13,65000,0.994799,9.0052,0.880481,0,0,0,0,0,0,0,0,0,0
14,70000,1.01333,8.98667,0.88997,0,0,0,0,0,0,0,0,0,0
15,75000,1.03239,8.96761,0.899465,0,0,0,0,0,0,0,0,0,0
16,80000,1.05119,8.94881,0.908948,0,0,0,0,0,0,0,0,0,0
17,85000,1.06964,8.93036,0.9184,0,0,0,0,0,0,0,0,0,0
18,90000,1.0886,8.9114,0.927856,0,0,0,0,0,0,0,0,0,0
19,95000,1.10784,8.89216,0.937329,0,0,0,0,0,0,0,0,0,0
20,100000,1.12642,8.87358,0.946783,0,0,0,0,0,0,0,0,0,0
21,105000,1.14555,8.85445,0.956248,0,0,0,0,0,0,0,0,0,0
22,110000,1.16456,8.83544,0.965717,0,0,0,0,0,0,0,0,0,0
23,115000,1.18355,8.81645,0.975188,0,0,0,0,0,0,0,0,0,0
24,120000,1.20201,8.79799,0.984639,0,0,0,0,0,0,0,0,0,0
25,125000,1.22064,8.77936,0.994079,0,0,0,0,0,0,0,0,0,0
26,130000,1.2391,8.7609,1.0035,0,0,0,0,0,0,0,0,0,0
27,135000,1.25839,8.74161,1.01294,0,0,0,0,0,0,0,0,0,0
28,140000,1.27682,8.72318,1.02237,0,0,0,0,0,0,0,0,0,0
29,145000,1.29644,8.70356,1.03182,0,0,0,0,0,0,0,0,0,0
30,150000,1.31537,8.68463,1.04127,0,0,0,0,0,0,0,0,0,0
31,155000,1.33385,8.66615,1.05071,0,0,0,0,0,0,0,0,0,0
32,160000,1.35258,8.64742,1.06014,0,0,0,0,0,0,0,0,0,0
33,165000,1.37173,8.62827,1.06958,0,0,0,0,0,0,0,0,0,0
34,170000,1.3903,8.6097,1.07902,0,0,0,0,0,0,0,0,0,0
35,175000,1.40918,8.59082,1.08845,0,0,0,0,0,0,0,0,0,0
36,180000,1.42865,8.57135,1.0979,0,0,0,0,0,0,0,0,0,0
37,185000,1.44705,8.55295,1.10734,0,0,0,0,0,0,0,0,0,0
38,190000,1.46602,8.53398,1.11677,0,0,0,0,0,0,0,0,0,0
39,195000,1.4849,8.5151,1.12621,0,0,0,0,0,0,0,0,0,0
40,200000,1.50352,8.49648,1.13565,0,0,0,0,0,0,0,0,0,0
41,205000,1.5224,8.4776,1.14508,0,0,0,0,0,0,0,0,0,0
42,210000,1.54154,8.45846,1.15452,0,0,0,0,0,0,0,0,0,0
43,215000,1.56013,8.43987,1.16395,0,0,0,0,0,0,0,0,0,0
44,220000,1.5791,8.4209,1.17339,0,0,0,0,0,0,0,0,0,0
