epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy
1,10000,0,1,0.768177,0,0.768177,7681.77,0,7681.77,7681.77
2,20000,0,0.5,0.414229,0,0.414229,4142.29,0,4142.29,4142.29
3,30000,0,1,0.814313,0,0.814313,8143.13,0,8143.13,8143.13
4,40000,0,0.5,0.420875,0,0.420875,4208.75,0,4208.75,4208.75
5,50000,0,1,0.851884,0,0.851884,8518.84,0,8518.84,8518.84
6,60000,0,0.5,0.43605,0,0.43605,4360.5,0,4360.5,4360.5
7,70000,0,1,0.88372,0,0.88372,8837.2,0,8837.2,8837.2
8,80000,0,0.5,0.459079,0,0.459079,4590.79,0,4590.79,4590.79
9,90000,0,1,0.920849,0,0.920849,9208.49,0,9208.49,9208.49
10,100000,0,0.5,0.476462,0,0.476462,4764.62,0,4764.62,4764.62
11,110000,0,1,0.960485,0,0.960485,9604.85,0,9604.85,9604.85
12,120000,0,0.5,0.494746,0,0.494746,4947.46,0,4947.46,4947.46
13,130000,0,1,0.998255,0,0.998255,9982.55,0,9982.55,9982.55
14,140000,0,0.5,0.515129,0,0.515129,5151.29,0,5151.29,5151.29
15,150000,0,0.969742,1.00761,0,1.00761,10076.1,0,10076.1,10076.1
16,160000,0,0.5,0.530535,0,0.530535,5305.35,0,5305.35,5305.35
17,170000,0,0.938931,1.0116,0,1.0116,10116,0,10116,10116
18,180000,0,0.5,0.554791,0,0.554791,5547.91,0,5547.91,5547.91
19,190000,0,0.890418,0.992863,0,0.992863,9928.63,0,9928.63,9928.63
20,200000,0,0.5,0.569169,0,0.569169,5691.69,0,5691.69,5691.69
21,210000,0,0.861662,0.996227,0,0.996227,9962.27,0,9962.27,9962.27
22,220000,0,0.5,0.587386,0,0.587386,5873.86,0,5873.86,5873.86
23,230000,0,0.825229,0.981626,0,0.981626,9816.26,0,9816.26,9816.26
24,240000,0,0.5,0.605274,0,0.605274,6052.74,0,6052.74,6052.74
25,250000,0,0.789451,0.96822,0,0.96822,9682.2,0,9682.2,9682.2
26,260000,0,0.5,0.624007,0,0.624007,6240.07,0,6240.07,6240.07
27,270000,0,0.751986,0.954884,0,0.954884,9548.84,0,9548.84,9548.84
28,280000,0,0.5,0.643121,0,0.643121,6431.21,0,6431.21,6431.21
29,290000,0,0.713758,0.930986,0,0.930986,9309.86,0,9309.86,9309.86
30,300000,0,0.5,0.663845,0,0.663845,6638.45,0,6638.45,6638.45
31,310000,0,0.672309,0.901617,0,0.901617,9016.17,0,9016.17,9016.17
32,320000,0,0.5,0.682014,0,0.682014,6820.14,0,6820.14,6820.14
33,330000,0,0.635972,0.878658,0,0.878658,8786.58,0,8786.58,8786.58
34,340000,0,0.5,0.699477,0,0.699477,6994.77,0,6994.77,6994.77
35,350000,0,0.601046,0.853175,0,0.853175,8531.75,0,8531.75,8531.75
36,360000,0,0.5,0.716619,0,0.716619,7166.19,0,7166.19,7166.19
37,370000,0,0.566762,0.82663,0,0.82663,8266.3,0,8266.3,8266.3
38,380000,0,0.5,0.738001,0,0.738001,7380.01,0,7380.01,7380.01
39,390000,0,0.523997,0.783082,0,0.783082,7830.82,0,7830.82,7830.82
40,400000,0,0.5,0.757041,0,0.757041,7570.41,0,7570.41,7570.41
41,410000,0,0.5,0.767119,0,0.767119,7671.19,0,7671.19,7671.19
42,420000,0,0.5,0.773754,0,0.773754,7737.54,0,7737.54,7737.54
43,430000,0,0.5,0.786506,0,0.786506,7865.06,0,7865.06,7865.06
44,440000,0,0.5,0.796286,0,0.796286,7962.86,0,7962.86,7962.86
45,450000,0,0.5,0.804151,0,0.804151,8041.51,0,8041.51,8041.51
