epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate
1,10000,0.768177,-0.268177,0.768177,19,30,37,0,38.3138,0,0,0,0.0360875,4.72107
2,20000,0.414229,0.0857713,0.591203,520,1470,3952,3737,0.0038,0,0,0,0,0
3,30000,0.814313,-0.314313,0.665573,0,0,0,0,0.0047,0,0,0,0,0
4,40000,0.420875,0.0791249,0.604399,340,1250,2256,16140,21.3039,8.44092,1.82664,11.1265,4.30821,13.1489
5,50000,0.851884,-0.351884,0.653896,151,677,1365,24810,40.5978,15.6598,3.67384,17.6971,7.22149,23.3342
6,60000,0.43605,0.0639496,0.617588,324,1344,2522,28728,20.3629,9.38813,2.45014,9.91657,2.92344,12.5838
7,70000,0.88372,-0.38372,0.655607,143,751,1531,40107,39.0248,17.2837,4.43454,15.96,6.15744,21.9794
8,80000,0.459079,0.0409206,0.631041,322,1252,2242,42133,21.4879,8.18774,2.2837,9.98954,3.04449,13.9078
9,90000,0.920849,-0.420849,0.663242,203,956,1912,56653,0,0,0,0,0,0
10,100000,0.476462,0.0235384,0.644564,448,1900,3816,66822,0,0,0,0,0,0
11,110000,0.960485,-0.460485,0.673284,242,1297,3251,80452,0,0,0,0,0,0
12,120000,0.494746,0.00525354,0.658406,608,2464,4893,86732,0,0,0,0,0,0
13,130000,0.998255,-0.498255,0.684548,317,1958,5329,104258,0,0,0,0,0,0
14,140000,0.515129,-0.015129,0.672447,752,3292,6254,105050,0,0,0,0,0,0
15,150000,1.00761,-0.507614,0.694791,309,2744,8108,121265,0,0,0,0,0,0
16,160000,0.530535,-0.0305347,0.684525,500,3122,6225,123372,0,0,0,0,0,0
17,170000,1.0116,-0.511596,0.703765,381,2974,7919,135782,0,0,0,0,0,0
18,180000,0.554791,-0.0547908,0.695488,623,3050,6528,137705,0,0,0,0,0,0
19,190000,0.992863,-0.492863,0.71114,495,3606,8504,152289,0,0,0,0,0,0
20,200000,0.569169,-0.0691692,0.704041,1086,5614,11974,161572,0,0,0,0,0,0
21,210000,0.996227,-0.496227,0.717955,709,5259,13301,171369,0,0,0,0,0,0
22,220000,0.587386,-0.0873856,0.71202,1588,7962,11774,178867,0,0,0,0,0,0
23,230000,0.981626,-0.481626,0.723742,1208,7948,14467,189842,0,0,0,0,0,0
24,240000,0.605274,-0.105274,0.718806,1888,8015,12164,199633,0,0,0,0,0,0
25,250000,0.96822,-0.46822,0.728782,932,11397,18637,209962,0,0,0,0,0,0
26,260000,0.624007,-0.124007,0.724752,1812,8319,18681,220912,0,0,0,0,0,0
27,270000,0.954884,-0.454884,0.733276,1095,7409,12197,229004,0,0,0,0,0,0
28,280000,0.643121,-0.143121,0.730056,1761,9073,12207,238456,0,0,0,0,0,0
29,290000,0.930986,-0.430986,0.736985,1383,7574,14122,248093,0,0,0,0,0,0
30,300000,0.663845,-0.163845,0.734547,2049,9768,18139,256886,0,0,0,0,0,0
31,310000,0.901617,-0.401617,0.739936,2365,9972,14294,264741,0,0,0,0,0,0
32,320000,0.682014,-0.182014,0.738126,2314,11966,22478,273126,0,0,0,0,0,0
33,330000,0.878658,-0.378658,0.742384,1611,18508,27380,286365,0,0,0,0,0,0
34,340000,0.699477,-0.199477,0.741122,1682,9150,12234,296766,0,0,0,0,0,0
35,350000,0.853175,-0.353175,0.744324,1551,15919,28423,304256,0,0,0,0,0,0
36,360000,0.716619,-0.216619,0.743554,1422,8391,15865,312179,0,0,0,0,0,0
37,370000,0.82663,-0.32663,0.7458,1991,9651,22716,323979,0,0,0,0,0,0
38,380000,0.738001,-0.238001,0.745594,1983,12187,34343,334277,0,0,0,0,0,0
39,390000,0.783082,-0.283082,0.746556,1849,14811,21135,345892,0,0,0,0,0,0
40,400000,0.757041,-0.257041,0.746818,2132,9377,15770,354948,0,0,0,0,0,0
41,410000,0.767119,-0.267119,0.747313,1348,8010,15586,362668,0,0,0,0,0,0
42,420000,0.773754,-0.273754,0.747943,1710,12448,20184,371244,0,0,0,0,0,0
