epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.637614,0,0.637614,6376.14,0,6376.14,3252.74,3123.39
2,20000,0,1,0.657181,0,0.657181,6571.81,0,6571.81,3278.17,3293.64
3,30000,0,1,0.676414,0,0.676414,6764.14,0,6764.14,3460.51,3303.63
4,40000,0,1,0.69503,0,0.69503,6950.3,0,6950.3,3446.19,3504.11
5,50000,0,1,0.714028,0,0.714028,7140.28,0,7140.28,3570.84,3569.44
6,60000,0,0.97996,0.718144,0,0.718144,7181.44,0,7181.44,3549.56,3631.88
7,70000,0,0.97408,0.732214,0,0.732214,7322.14,0,7322.14,3693.15,3628.99
8,80000,0,0.95398,0.735391,0,0.735391,7353.91,0,7353.91,3694.45,3659.46
9,90000,0,0.949441,0.750113,0,0.750113,7501.13,0,7501.13,3762.45,3738.68
10,100000,0,0.92841,0.750934,0,0.750934,7509.34,0,7509.34,3736.39,3772.95
11,110000,0,0.927238,0.767023,0,0.767023,7670.23,0,7670.23,3797.13,3873.09
12,120000,0,0.904253,0.764764,0,0.764764,7647.64,0,7647.64,3837.62,3810.02
13,130000,0,0.90748,0.785195,0,0.785195,7851.95,0,7851.95,4015.42,3836.53
14,140000,0,0.878292,0.776852,0,0.776852,7768.52,0,7768.52,3857.46,3911.06
15,150000,0,0.890211,0.802992,0,0.802992,8029.92,0,8029.92,4141.8,3888.11
16,160000,0,0.852869,0.786517,0,0.786517,7865.17,0,7865.17,3910.82,3954.35
17,170000,0,0.876404,0.824707,0,0.824707,8247.07,0,8247.07,4187.74,4059.33
18,180000,0,0.821848,0.789542,0,0.789542,7895.42,0,7895.42,3937.08,3958.34
19,190000,0,0.872083,0.852592,0,0.852592,8525.92,0,8525.92,4215.29,4310.63
20,200000,0,0.782012,0.780437,0,0.780437,7804.37,0,7804.37,3990.86,3813.52
21,210000,0,0.88509,0.899877,0,0.899877,8998.77,0,8998.77,4532.23,4466.53
22,220000,0,0.714462,0.74151,0,0.74151,7415.1,0,7415.1,3696.88,3718.22
23,230000,0,0.9407,0.991016,0,0.991016,9910.16,0,9910.16,4965.59,4944.57
