epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.637614,0,0.637614,6376.14,0,6376.14,3252.74,3123.39
2,20000,0,1,0.657181,0,0.657181,6571.81,0,6571.81,3278.17,3293.64
3,30000,0,1,0.676414,0,0.676414,6764.14,0,6764.14,3460.51,3303.63
4,40000,0,1,0.69503,0,0.69503,6950.3,0,6950.3,3446.19,3504.11
5,50000,0,1,0.714028,0,0.714028,7140.28,0,7140.28,3570.84,3569.44
6,60000,0,1,0.732691,0,0.732691,7326.91,0,7326.91,3621.46,3705.45
7,70000,0,1,0.751487,0,0.751487,7514.87,0,7514.87,3790.36,3724.51
8,80000,0,1,0.770511,0,0.770511,7705.11,0,7705.11,3870.89,3834.23
9,90000,0,1,0.789657,0,0.789657,7896.57,0,7896.57,3960.79,3935.77
10,100000,0,1,0.80827,0,0.80827,8082.7,0,8082.7,4021.68,4061.03
11,110000,0,1,0.82664,0,0.82664,8266.4,0,8266.4,4092.27,4174.14
12,120000,0,1,0.845051,0,0.845051,8450.51,0,8450.51,4240.51,4210
13,130000,0,1,0.864499,0,0.864499,8644.99,0,8644.99,4421.15,4223.84
14,140000,0,1,0.883485,0,0.883485,8834.85,0,8834.85,4386.8,4448.05
15,150000,0,1,0.901285,0,0.901285,9012.85,0,9012.85,4648.77,4364.08
16,160000,0,1,0.9209,0,0.9209,9209,0,9209,4579.02,4629.98
17,170000,0,1,0.939971,0,0.939971,9399.71,0,9399.71,4773.04,4626.68
18,180000,0,1,0.95899,0,0.95899,9589.9,0,9589.9,4781.27,4808.63
19,190000,0,1,0.976725,0,0.976725,9767.25,0,9767.25,4830.71,4936.54
20,200000,0,1,0.996062,0,0.996062,9960.62,0,9960.62,5092.22,4868.4
21,210000,0,1,1.0157,0,1.0157,10157,0,10157,5117.05,5039.99
22,220000,0,1,1.03487,0,1.03487,10348.7,0,10348.7,5157.87,5190.8
23,230000,0,1,1.05305,0,1.05305,10530.5,0,10530.5,5277.19,5253.3
